,molecule_chembl_id,standard_value,standard_units,target_chembl_id,smiles
167294,CHEMBL4527314,24.0,nM,CHEMBL1075104,FC(F)(F)c1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)ncn1
167295,CHEMBL4435096,41.0,nM,CHEMBL1075104,c1ccc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)nc1
167296,CHEMBL4539170,4.5,nM,CHEMBL1075104,CCc1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)nn1C
167297,CHEMBL4441650,49.0,nM,CHEMBL1075104,CC(C)n1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)nn1
167298,CHEMBL3651804,35.0,nM,CHEMBL1075104,CC(C)c1nc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)n[nH]1
167299,CHEMBL4592487,13.0,nM,CHEMBL1075104,CC(C)(O)Cn1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1
167300,CHEMBL4460272,24.0,nM,CHEMBL1075104,c1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cc(N2CCOCC2)n1
167301,CHEMBL4460272,12.0,nM,CHEMBL1075104,c1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cc(N2CCOCC2)n1
167302,CHEMBL3651732,135.0,nM,CHEMBL1075104,c1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)cc(N2CCOCC2)n1
167303,CHEMBL4542888,301.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(OC3CCOCC3)c12
167304,CHEMBL3651817,426.0,nM,CHEMBL1075104,Cc1[nH]nc2ccnc(NC3CCOCC3)c12
167305,CHEMBL3651817,190.0,nM,CHEMBL1075104,Cc1[nH]nc2ccnc(NC3CCOCC3)c12
167306,CHEMBL4440433,390.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(NC3CCCCC3)c12
167307,CHEMBL4537851,3000.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(N3CCOCC3)c12
167308,CHEMBL4578462,830.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(Nc3cnn(C)c3)c12
167309,CHEMBL4449552,150.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(Nc3ccccc3F)c12
167310,CHEMBL4566553,97.0,nM,CHEMBL1075104,Cc1ccc(Nc2nccc3[nH]nc(C)c23)cc1
167311,CHEMBL4589029,390.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(Nc3ccc(Cl)cc3)c12
167312,CHEMBL4536900,4900.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(NCc3ccc(Cl)cc3)c12
167313,CHEMBL4446540,1600.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(N(C)C3CCCCC3)c12
167314,CHEMBL4471414,410.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(NC3CCCC3)c12
